mill_name	website	cert_names	cert_image_urls	cert_page_url	notes
Al Gharbia Pipe Company LLC	https://algharbiapipe.com/	API 2B (2B-0193)|API Spec Q1 (Q1-3826)|API 5L (5L-1170)|ISO 9001:2015 (ISO-4628)|ISO 14001:2015|ISO 45001:2018|ISO/IEC 17025:2017	https://algharbiapipe.com/wp-content/uploads/2022/10/Certificate-2B-0193_20240927120135_Print1_1.png|https://algharbiapipe.com/wp-content/uploads/2022/10/Certificate-Q1-3826_20240927120311_Print1_1.png|https://algharbiapipe.com/wp-content/uploads/2022/10/Certificate-5L-1170_20240927120227-PRINT_1.png|https://algharbiapipe.com/wp-content/uploads/2022/10/Certificate-ISO-4628_20240927120342_Print1_1.png|https://algharbiapipe.com/wp-content/uploads/2026/03/Al-Gharbia-Pipe-Company-LLC-AGPC-14k_1-25-28.png|https://algharbiapipe.com/wp-content/uploads/2026/03/Al-Gharbia-Pipe-Company-LLC-AGPC-45k_1-25-28.png|https://algharbiapipe.com/wp-content/uploads/2022/10/AC-10.12-Accreditation-certificate-ATL-Garbia_-S_1.png	https://algharbiapipe.com/accreditations/	Mill accreditations page; full certificate PNG scans (not API/ISO badge icons). curl HEAD 200 image/png for all 7.
Ajmal Steel Tubes & Pipes Industries LLC (AJ Steel)	https://www.ajsteel.com/	ISO 9001:2015|ISO/IEC 17025|CE EN 10210/10219/10255/10217|ISO 14001|ISO 45001|FM|UL|ACRS AS/NZS 1163 (catalog pages 28-39)	https://www.ajsteel.com/assets/images/products-applications/viewCatalog.pdf	https://www.ajsteel.com/	JS SPA site has no standalone cert jpg/png. Mill-hosted product catalog PDF embeds certificate scans (ISO 9001/14001/45001/17025, CE, FM, UL, ACRS). curl HEAD 200 application/pdf. ACRS 230302 also on steelcertification.com (not mill-hosted; not used).
Jindal SAW Limited	https://jindalsaw.com/				jindalsaw.com/quality/ lists API/ISO names as text only; no mill-hosted cert jpg/png/pdf found. none found.
Welspun Corp Limited	https://www.welspuncorp.com/				welspuncorp.com quality/certifications paths 404; no mill-hosted cert scan/PDF found this pass. none found.
Arabian Pipes Company	https://www.arabian-pipes.com/				arabian-pipes.com/Quality.php 404; no mill-hosted cert image/PDF found. none found.
APL Apollo Tubes Limited	https://aplapollo.com/				aplapollo.com quality/certifications 404; no mill-hosted cert scan/PDF found. none found.
Man Industries (India) Limited	https://mangroup.com/	API 5L|API 2B|API Spec Q1|ISO 27001:2013	https://mangroup.com/wp-content/uploads/2024/10/API-5L-Up-to-May-2027-pdf.jpg|https://mangroup.com/wp-content/uploads/2024/10/API-2B-Up-to-May-2027-pdf.jpg|https://mangroup.com/wp-content/uploads/2024/10/API-Q1-up-to-May-2027-pdf.jpg|https://mangroup.com/wp-content/uploads/2024/10/ISO-27001-2013-2023-2026_Page_1.jpg	https://mangroup.com/certificates/	Mill certificates page hosts JPEG scans of API/ISO certificates. Linked PDFs returned 404; JPEG renders of the same files verified 206 image/jpeg.
Hebei Huayang Steel Pipe Co., Ltd.	https://www.hbhuayang.com/	Mill certificate scan (Quality/Certificate page)	https://www.huayang-steelpipe.com/uploads/43557/page/p202508131422465accc.jpg	https://www.huayang-steelpipe.com/certificate	Mill Certificate page image (418KB). Sister domain hbhuayang.com/certificate.html lists API 5L/2B, ISO 9001/14001/45001, CE; extra CMS images on thefastimg CDN not used. curl HEAD 200 image/webp.
Al Jazeera Steel Products Co. SAOG	https://www.jazeerasteel.com/	ISO 9001:2015|API Q1 (Q1-5441)|API 5L (5L-1299)	https://www.jazeerasteel.com/certificates/ISO-9001-Al-Jazeera-Steel-Products-Co-SAOG.pdf|https://www.jazeerasteel.com/certificates/API-Q1-Certificate-Q1-5441_.pdf|https://www.jazeerasteel.com/certificates/Certificate-5L-1299-2025-revised-new.pdf	https://www.jazeerasteel.com/certifications-jazeera.php	Mill certifications-jazeera.php hosts cert PDFs plus matching JPG scans (ISO-9001-2015.jpg, api-certificate.jpg, 5lapi.jpg). PDFs verified 200 application/pdf.
Ratnamani Metals & Tubes Limited	https://www.ratnamani.com/	ISO 9001:2015|ISO 14001:2015|ISO 45001:2018	https://www.ratnamani.com/images/certificates/ISO_9001_2015_certificate.jpg|https://www.ratnamani.com/images/certificates/ISO_14001_2015_certificate.jpg|https://www.ratnamani.com/images/certificates/ISO_45001_2018_certificate.jpg	https://www.ratnamani.com/quality_certifications.html	Mill quality_certifications.html hosts many plant cert JPGs (API/NORSOK/PED/NABL also listed). Seeded the three ISO QMS scans; curl HEAD 200 image/jpeg.
