name,industry,category,country,city,address,website,phone,email,description,logoUrl,imageUrl,products,certifications,moq,rating,reviewCount,sourceUrl,images
Al Gharbia Pipe Company LLC,Metal,Tubes & Pipes,United Arab Emirates,Al Taweelah,,https://algharbiapipe.com/,,,"Al Gharbia Pipe Company is an LSAW mill in KEZAD (Khalifa Economic Zone Abu Dhabi), Al Taweelah, about 10 km from Khalifa Port. It is a joint venture of ADQ/SENAAT (51%), JFE Steel (27%) and Marubeni-Itochu Steel (22%), established in 2015 with commercial production from 2019. The mill produces large-diameter longitudinally submerged-arc welded pipe from 18 to 60 inch OD, including sour-service linepipe, using a JCO forming press and Industry 4.0 MES. Nameplate capacity was raised to 400,000 metric tonnes; the company is ADNOC-approved for onshore/offshore sour linepipe and conductor pipe.",https://algharbiapipe.com/wp-content/uploads/2022/10/production-banner.jpg,/images/suppliers/phase1/tube-pipes/al-gharbia-production-banner.jpg,LSAW linepipe (API 5L Grade B to X80 non-sour; Grade B to X65 sour)|Conductor pipe (API 5L)|Structural tubulars (API 2B / EN 10219 / ASTM A252),API 5L (License 5L-1170)|API 2B (License 2B-0193)|API Spec Q1 (Q1-3826)|ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|ISO/IEC 17025:2017|ADNOC ICV / ADNOC approval (onshore-offshore sour linepipe and conductor),,,,https://algharbiapipe.com/about/,/images/suppliers/phase1/tube-pipes/al-gharbia-production-banner.jpg|/images/suppliers/phase1/tube-pipes/al-gharbia-prod-1.jpg|/images/suppliers/phase1/tube-pipes/al-gharbia-prod-2.jpg|/images/suppliers/phase1/tube-pipes/al-gharbia-prod-3.jpg|/images/suppliers/phase1/tube-pipes/al-gharbia-prod-5.jpg|/images/suppliers/phase1/tube-pipes/al-gharbia-pipe-factory-1.jpg|/images/suppliers/phase1/tube-pipes/al-gharbia-pipe-factory-2.jpg|/images/suppliers/phase1/tube-pipes/al-gharbia-pipe-factory-3.jpg
Ajmal Steel Tubes & Pipes Industries LLC (AJ Steel),Metal,Tubes & Pipes,United Arab Emirates,Mussafah,,https://www.ajsteel.com/,,,"Ajmal Steel Tubes & Pipes Industries LLC, trading as AJ Steel, is an ERW/HFW pipe mill with two manufacturing units in Mussafah ICAD-1 and ICAD-2, Abu Dhabi. Established around 2006–2007, it produces circular, square and rectangular hollow sections from 1/2 inch to 20 inch NB, in black, varnished, primer, powder-coated and hot-dip galvanized finishes. Stated annual capacity is about 500,000 MT. Products are supplied to construction, infrastructure, fire protection and industrial applications under ASTM, EN, AS/NZS and related specifications.",https://www.ajsteel.com/assets/images/logo.png,https://www.ajsteel.com/assets/images/about/who-we-are/whoWeAre.png,"ERW/HFW circular pipes (1/2""–20"" NB)|Square and rectangular hollow sections (SHS/RHS)|Hot-dip galvanized, powder-coated and primer-coated ERW tubes","ISO 9001:2015|ISO/IEC 17025 (in-house lab, ICAD-2 branch)|ISO 14001|ISO 45001|CE / CPR EN 10210, EN 10219, EN 10255, EN 10217|ACRS (AS/NZS 1163 cold-formed hollow sections, cert 230302)",,,,https://www.ajsteel.com/assets/images/products-applications/viewCatalog.pdf,https://www.ajsteel.com/assets/images/about/who-we-are/whoWeAre.png|https://www.ajsteel.com/assets/images/about/who-we-are/whoWeAreSub.png
Jindal SAW Limited,Metal,Tubes & Pipes,India,Mundra,,https://jindalsaw.com/,,,"Jindal SAW Limited, founded in 1984 in the O.P. Jindal Group, is a listed Indian manufacturer of large-diameter SAW line pipe, seamless carbon/alloy tubes, and ductile-iron pipe. Integrated SAW mills sit at Nanakapaya and Samaghogha near Mundra Port, Gujarat, with additional plants at Kosi Kalan, Bellary, Nashik and overseas. The company was the first in India to make SAW pipe by UOE and later added JCO LSAW and HSAW mills plus a Nashik seamless mill for OCTG and industrial tubes. Products are made to API and related specifications for oil, gas, water and industrial customers in India and export markets.",https://jindalsaw.com/wp-content/uploads/2025/07/saw-jco1.jpg,/images/suppliers/phase1/tube-pipes/jindal-saw-hsaw.jpg,LSAW (UOE/JCO) and HSAW line pipes|Seamless carbon and alloy pipes and OCTG (Nashik mill)|Ductile iron pipes and anti-corrosion coatings,API 5L (historic first Indian API SAW license 1986; current mill licenses listed by plant)|ISO 9001:2015|ISO 14001:2015|ISO 45001:2018,,,,https://jindalsaw.com/,/images/suppliers/phase1/tube-pipes/jindal-saw-hsaw.jpg|/images/suppliers/phase1/tube-pipes/jindal-saw-lsaw.jpg|/images/suppliers/phase1/tube-pipes/jindal-saw-pipe.jpg
Welspun Corp Limited,Metal,Tubes & Pipes,India,Anjar,,https://www.welspuncorp.com/,,,"Welspun Corp Limited is a listed welded line-pipe manufacturer with its largest Indian complex at Welspun City, Anjar, Gujarat, plus mills at Dahej, Mandya and Bhopal and overseas plants in Dammam, Saudi Arabia and Little Rock, USA. It produces LSAW, HSAW, HFW/HFIW pipe from about 1.5 to 143 inch, with in-house coating, double-jointing and bending. Combined installed capacity is on the order of 2.2 million tonnes. The company supplies onshore and offshore oil and gas projects (including Saudi Aramco, TC Energy and PTTEP) and has IndiaMART manufacturer listings alongside the corporate site.",https://www.welspuncorp.com/images/welcome-img.webp,/images/suppliers/phase1/tube-pipes/welspun-corp-factory-1.jpg,LSAW line pipe|HSAW (spiral) line pipe|HFW/HFIW (ERW) line pipe and pipe coatings,API Spec Q1|API 5L|API 5CT (HFW)|ISO 9001:2015|ISO 14001|ISO/TS 29001|BIS,,,,https://www.indiamart.com/welspun-corp-limitedmumbai/aboutus.html,/images/suppliers/phase1/tube-pipes/welspun-corp-factory-1.jpg|/images/suppliers/phase1/tube-pipes/welspun-corp-factory-2.jpg
Arabian Pipes Company,Metal,Tubes & Pipes,Saudi Arabia,Riyadh,,https://www.arabian-pipes.com/,,,"Arabian Pipes Company (APC) is a Saudi listed mill that owns an ERW/HFW plant in Riyadh Second Industrial City (about 160,000 t/year, 6–20 inch) and an LSAW plant in Jubail (about 300,000 t/year, 16–48 inch). Combined capacity is about 460,000 t/year, plus casing threading, coating and coil slitting. Commercial ERW production started in the mid-1990s. APC supplies Saudi Aramco and other regional oil and gas operators and exports across the Gulf, the wider Middle East and North Africa.",https://arabian-pipes.com/images/Events/ADIPEC_2019.jpg,/images/suppliers/phase1/tube-pipes/arabian-pipes-factory.jpg,"ERW/HFW line pipe and casing (6–20 inch)|LSAW pipe (16–48 inch, Jubail mill)|Anti-corrosion coated pipe and threaded casing",API|ISO 9001|ISO 29001|ISO 14001|ISO 45001|ISO/IEC 17025,,,,https://arabian-pipes.com/About-us.php,/images/suppliers/phase1/tube-pipes/arabian-pipes-factory.jpg|/images/suppliers/phase1/tube-pipes/arabian-pipes-product.jpg
APL Apollo Tubes Limited,Metal,Tubes & Pipes,India,Sikandrabad,,https://aplapollo.com/,,,"APL Apollo Tubes Limited is India’s largest structural ERW steel tube producer, founded in 1986 with its original mill at Sikandrabad, Uttar Pradesh. It now runs multiple plants across India (including Sikandrabad, Hosur, Raipur, Murbad and others) with multi-million-tonne ERW capacity, and has added a UAE mill. The company makes MS black, galvanized and pre-galvanized round tubes plus SHS/RHS for construction, infrastructure, irrigation and engineering. IndiaMART lists it as a manufacturer; products are BIS-marked and the group cites ISO 9001, ISO 14001 and ISO 45001 plant certifications.",https://aplapollocoatedsteel.com/wp-content/uploads/2024/04/factory-image.webp,/images/suppliers/phase1/tube-pipes/apl-apollo-raipur-1.jpg,ERW structural hollow sections (SHS/RHS)|MS black round tubes and pipes|Galvanized and pre-galvanized ERW tubes,ISO 9001|ISO 14001|ISO 45001|BIS (IS 1239 / IS 3589 and related product marks),,,,https://www.indiamart.com/apl-apollo-tubes-ltd/,/images/suppliers/phase1/tube-pipes/apl-apollo-raipur-1.jpg|/images/suppliers/phase1/tube-pipes/apl-apollo-raipur-2.jpg|/images/suppliers/phase1/tube-pipes/apl-apollo-raipur-3.jpg|/images/suppliers/phase1/tube-pipes/apl-apollo-raipur-4.jpg
Man Industries (India) Limited,Metal,Tubes & Pipes,India,Anjar,,https://mangroup.com/,,,"Man Industries (India) Limited is a listed manufacturer of large-diameter carbon-steel LSAW, HSAW and ERW line pipe, incorporated in 1988. The main pipe and coating complex is at Khedoi village, Anjar, Kutch (two LSAW units, two HSAW units, one ERW unit and coating lines), with a second plant at Pithampur, Madhya Pradesh. Combined installed capacity is stated at over 1.2 million MTPA. The mill is port-linked to Kandla and Mundra for export of oil, gas, water and hydrocarbon line pipe up to API 5L X80 PSL2.",https://mangroup.com/wp-content/uploads/2024/11/LSAW-1-1024x683.jpg,/images/suppliers/phase1/tube-pipes/man-industries-hsaw.jpg,LSAW line pipe (Anjar JCO mills)|HSAW (spiral) line pipe|ERW/HFW pipe and 3LPE/FBE coating,API Spec Q1|API 5L|API 2B|ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|ISO 3834-2,,,,https://mangroup.com/,/images/suppliers/phase1/tube-pipes/man-industries-hsaw.jpg|/images/suppliers/phase1/tube-pipes/man-industries-lsaw.jpg
"Hebei Huayang Steel Pipe Co., Ltd.",Metal,Tubes & Pipes,China,Cangzhou,,https://www.hbhuayang.com/,,,"Hebei Huayang Steel Pipe Co., Ltd. is a Cangzhou (Mengcun) mill founded in 2005 that manufactures high-frequency ERW/HFW and LSAW (JCOE) carbon-steel pipe. Company materials cite a large Mengcun campus, 600-plus employees, and annual ERW/LSAW capacity in the multi-million-tonne range, with HFW lines covering about 76–660 mm and LSAW about 406–1422 mm. It holds API 5L and API 2B monogram rights plus ISO 9001/14001/45001 and CE, and exports to more than 80 regions. This is a producing mill rather than a Cangzhou trading desk.",https://www.huayang-steelpipe.com/uploads/43557/banner/20250822035044d1698.jpg,/images/suppliers/phase1/tube-pipes/hebei-huayang-factory.jpg,ERW/HFW line pipe (approx. Φ76–Φ660 mm)|LSAW/JCOE pipe (approx. Φ406–Φ1422 mm)|3PE/3PP coated and hot-expanded welded pipe,API 5L|API 2B|ISO 9001|ISO 14001|ISO 45001|CE,,,,https://www.huayang-steelpipe.com/,/images/suppliers/phase1/tube-pipes/hebei-huayang-factory.jpg
Al Jazeera Steel Products Co. SAOG,Metal,Tubes & Pipes,Oman,Sohar,,https://www.jazeerasteel.com/,,,"Al Jazeera Steel Products Co. SAOG (formerly Al Jazeera Tube Mills) is a Muscat Securities Market-listed mill in Sohar Industrial Estate, Oman, about 10 km from Sohar Port. Founded in 1996, its tube mill has four ERW lines with about 300,000 MT per year of black and galvanized circular, square and rectangular hollow sections; a merchant-bar mill of similar capacity sits on the same site. The company states ISO 9001:2015 and API Q1 for the tube mill and has obtained API monogram approval for oil and gas pipe. Key markets include Oman, UAE, Saudi Arabia and North America.",https://www.jazeerasteel.com/images/jazeera-company-info.jpg,/images/suppliers/phase1/tube-pipes/al-jazeera-steel-factory.jpg,ERW/HFIW black steel pipes|Hot-dip galvanized ERW pipes|Square and rectangular hollow sections,"ISO 9001:2015|API Q1 (10th edition)|API 5L monogram (tube mill upgrade, disclosed in 2024 annual report)|UL product certification (fire-protection pipe)|FM Approval",,,,https://www.jazeerasteel.com/company.php,/images/suppliers/phase1/tube-pipes/al-jazeera-steel-factory.jpg|/images/suppliers/phase1/tube-pipes/al-jazeera-steel-quality.jpg
Ratnamani Metals & Tubes Limited,Metal,Tubes & Pipes,India,Bhimasar,,https://www.ratnamani.com/,,,"Ratnamani Metals & Tubes Ltd. is a listed Gujarat mill group founded in 1983, with carbon-steel SAW/HFW pipe and coating at Kutch works, Survey No. 474, Bhimasar (Anjar), plus stainless/nickel seamless at Indrad and additional SAW at Chhatral and Sundargarh. Kutch produces LSAW, HSAW, CSAW and HF-ERW carbon-steel pipe to API 5L (including X80), with stated SAW capacities of roughly 250,000 MT LSAW and 300,000 MT HSAW and 100,000 MT HF-ERW. About 40% of volume is exported; customers sit in oil and gas, refining, power, LNG and water.",https://www.ratnamani.com/images/banner/banner1.jpg,/images/suppliers/phase1/tube-pipes/ratnamani-factory.jpg,Carbon steel LSAW / HSAW / CSAW line pipe|HF-ERW carbon steel pipe|Stainless and nickel-alloy seamless and welded tubes (Indrad/Kutch),ISO 9001:2015|ISO 14001:2015|ISO 45001:2018|API Q1 (CS Kutch)|API 5L (CS Kutch and Chhatral)|API 5CT (CS Kutch)|API 2B (CS Kutch and Chhatral),,,,https://www.ratnamani.com/company_profile.html,/images/suppliers/phase1/tube-pipes/ratnamani-factory.jpg|/images/suppliers/phase1/tube-pipes/ratnamani-product-carbonsteel.jpg
